0, -4996.0, -0.0164
1, -5552.0, -0.0524
2, -5620.0, -0.0162
3, -5844.0, -0.017
4, -5800.0, 0.006
5, -5828.0, -0.0234
6, -5796.0, -0.0036
7, -5352.0, 0.0128
8, -5660.0, 0.0226
9, -5672.0, 0.027
10, -5856.0, 0.0278
11, -5792.0, 0.0214
12, -5756.0, 0.0138
13, -6088.0, 0.027
14, -5728.0, 0.0082
15, -5668.0, -0.0018
16, -6016.0, 0.0176
17, -5868.0, 0.0274
18, -5732.0, 0.0048
19, -6152.0, 0.0122
20, -6120.0, 0.0002
21, -5964.0, 0.0154
22, -5768.0, 0.0266
23, -5900.0, 0.0052
24, -5784.0, 0.0372
25, -5944.0, 0.0212
26, -5900.0, 0.053
27, -5980.0, 0.0302
28, -5980.0, 0.0344
29, -5704.0, 0.0286
30, -5772.0, 0.0248
31, -6024.0, 0.028
32, -6136.0, 0.0068
33, -5972.0, 0.0204
34, -6020.0, 0.0238
35, -6016.0, 0.0272
36, -5744.0, 0.0152
37, -5944.0, 0.0264
38, -5860.0, -0.0046
39, -5872.0, -0.017
40, -5832.0, 0.0164
41, -6064.0, 0.022
42, -5800.0, 0.0226
43, -5952.0, 0.0542
44, -5920.0, 0.0488
45, -6132.0, 0.0246
46, -5884.0, -0.0068
47, -5744.0, 0.0196
48, -6024.0, 0.0078
49, -5992.0, -0.019
50, -6264.0, -0.0148
51, -5784.0, 0.0078
52, -6076.0, 0.022
53, -6028.0, 0.0044
54, -5788.0, -0.0196
55, -6232.0, -0.011
56, -6272.0, -0.0034
57, -6176.0, -0.0172
58, -5932.0, -0.0294
59, -6044.0, -0.0378
60, -5840.0, -0.028
61, -6000.0, -0.0352
62, -5984.0, -0.0288
63, -5836.0, -0.0058
64, -5976.0, -0.0124
65, -5888.0, 0.0176
66, -5824.0, -0.0054
67, -5908.0, -0.011
68, -5788.0, 0.0074
69, -5940.0, 0.0178
70, -5832.0, 0.0026
71, -5720.0, 0.019
72, -5880.0, -0.0148
73, -6040.0, -0.007
74, -6064.0, -0.0148
75, -6164.0, -0.0208
76, -6192.0, -0.0048
77, -5728.0, -0.0082
78, -5756.0, -0.017
79, -5888.0, 0.0012
80, -5796.0, -0.0256
81, -5876.0, -0.0054
82, -5860.0, -0.0236
83, -6004.0, -0.0258
84, -6080.0, -0.031
85, -5948.0, 0.0028
86, -5932.0, 0.0162
87, -6040.0, 0.0234
88, -5672.0, -0.0002
89, -5972.0, 0.022
90, -5940.0, -0.0122
91, -5820.0, -0.0102
92, -5744.0, -0.032
93, -5768.0, 0.0028
94, -5776.0, -0.0128
95, -5540.0, -0.0078
96, -5820.0, -0.0412
97, -6004.0, -0.0274
98, -5844.0, -0.0332
99, -5636.0, -0.0274
100, -5816.0, -0.041
